Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.02    0.00 8909994/112515609     rest_operands [40]
                0.02    0.00 11602651/112515609     operands [44]
                0.02    0.00 11602881/112515609     reverse [9]
                0.02    0.00 11609587/112515609     _find [19]
                0.03    0.00 13463744/112515609     length [37]
                0.04    0.00 17820113/112515609     _reverse_ [12]
                0.04    0.00 20512649/112515609     last_operand [25]
[11]     9.6    0.23    0.00 112515609         cdr [11]
-----------------------------------------------
                             17820113             _reverse_ [12]
                0.07    0.16 8910049/8910049     reverse [9]
[12]     9.5    0.07    0.16 8910049+17820113 _reverse_ [12]
                0.03    0.07 17820113/38341747     cons [14]
                0.04    0.00 17820113/112515609     cdr [11]
                0.03    0.00 17820113/95057266     car [17]
                             17820113             _reverse_ [12]
-----------------------------------------------
                0.21    0.00 110959112/110959112     hairy_eval <cycle 1> [4]
[13]     8.8    0.21    0.00 110959112         save [13]
-----------------------------------------------
                0.00    0.00       2/38341747     mk_command_line_list [106]
